['10.1021/jm0580196', 2]
['10.1021/acs.jmedchem.6b01907', 4]
['10.1021/acs.jmedchem.9b01566', 5]
['10.1021/acs.jmedchem.8b00346', 12]
['10.1021/acs.jmedchem.8b01612', 15]
['10.1021/acs.jmedchem.7b01310', 18]
['10.1021/jm401045n', 20]
['10.1021/jm400822z', 23]
['10.1021/jm0600390', 24]
['10.1021/jm0608762', 26]
['10.1021/jm500973a', 27]
['10.1021/jm100607r', 28]
['10.1021/jm300185p', 29]
['10.1021/jm301365e', 33]
['10.1021/jm2008634', 34]
['10.1021/jm901453q', 35]
['10.1021/jm020241c', 37]
['10.1021/acs.jmedchem.0c00151', 41]
['10.1021/jm1000198', 44]
['10.1021/jm500007h', 48]
['10.1021/jm901558p', 49]
['10.1021/jm400463q', 51]
['10.1021/jm070144p', 52]
['10.1021/jm201507x', 53]
['10.1021/jm400072p', 55]
['10.1021/acs.jmedchem.8b01391', 56]
['10.1021/acs.jmedchem.9b00722', 57]
['10.1021/jm901146p', 62]
['10.1021/jm201544y', 68]
['10.1021/acs.jmedchem.8b01746', 70]
['10.1021/jm201591k', 72]
['10.1021/jm901877j', 73]
['10.1021/acs.jmedchem.9b02008', 74]
['10.1021/acs.jmedchem.9b00964', 78]
['10.1021/jm000372i', 82]
['10.1021/acs.jmedchem.8b01927', 88]
['10.1021/jm500873e', 90]
['10.1021/acs.jmedchem.6b00276', 92]
['10.1021/jm990947f', 93]
['10.1021/acs.jmedchem.9b01167', 95]
['10.1021/acs.jmedchem.6b00374', 100]
['10.1021/acs.jmedchem.0c01677', 101]
['10.1021/jm070654j', 105]
['10.1021/acs.jmedchem.6b01915', 106]
['10.1021/jm2007744', 108]
['10.1021/acs.jmedchem.7b00076', 109]
['10.1021/acs.jmedchem.9b01392', 110]
['10.1021/jm990199u', 112]
['10.1021/acs.jmedchem.1c00373', 119]
['10.1021/jm000285q', 120]
['10.1021/jm030427r', 121]
['10.1021/jm401387j', 122]
['10.1021/jm011022e', 128]
['10.1021/jm201391u', 134]
['10.1021/jm9011142', 253]
['10.1021/jm301085w', 262]
['10.1021/jm040099a', 355]
['10.1021/jm058205b', 383]
['10.1021/jm401358b', 387]
['10.1021/jm301217c', 388]
['10.1021/jm051106d', 420]
['10.1021/jm049538w', 428]
['10.1021/jm049538w', 440]
['10.1021/acs.jmedchem.7b01091', 473]
['10.1021/acs.jmedchem.7b01843', 496]
['10.1021/jm400778d', 689]
['10.1021/jm0501275', 709]
['10.1021/jm300126x', 740]
